Simulation time: 100.0 s
Waiting for simulation script to connect on port: tcp://localhost:50000
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 10305
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   0  -64.0        23    0.698244280499169312    0.059868434008924970         23.25               278
   0  -63.0        23    0.636931365111125358    0.072932495748947279         17.25               187
   0  -81.0        23    0.191652214789430203    0.208514414057074771          6.29                22
   0  -80.0        23    0.197746430338113066    0.196116135138184045          7.22                25
   0  -78.0        23    0.320458053372394747    0.160128153805087131          6.31                38
   0  -74.0        23    0.333832210701586529    0.152498570332604666          6.41                42
   0  -69.0        23    0.576280924260051286    0.080845208345444328         16.92               152
   0  -62.0        23    0.652965777023883254    0.074535599249992993         16.34               179
                                                                              99.99               923    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   1  -64.0        23    0.194656218131964209    0.130188910980823858         14.04                58
   1  -81.0        23    0.028526668928685592    0.192450089729875262         12.78                26
   1  -77.0        23    0.056093517015375433    0.196116135138184045         11.33                25
   1  -72.0        23    0.073589007510730983    0.185695338177051861         11.41                28
   1  -71.0        23    0.057760287000826908    0.208514414057074771          8.96                22
   1  -69.0        23    0.153579260996276418    0.164398987305357291         10.10                36
   1  -66.0        23    0.156735356080913102    0.160128153805087131         11.12                38
   1  -65.0        23    0.162573512736631814    0.166666666666666657          9.46                35
   1  -62.0        23    0.174900905331340090    0.150755672288881815         10.59                43
                                                                              99.80               311    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   2  -82.0        23    0.006314532883121908    0.250000000000000000          7.29                15
   2  -81.0        23    0.004967009523809525    0.218217890235992362         10.00                20
   2  -80.0        23    0.024833726460577216    0.242535625036332969          7.93                16
   2  -79.0        23    0.015917929411764706    0.242535625036332969          8.00                16
   2  -76.0        23    0.014673317647058825    0.242535625036332969          8.00                16
   2  -75.0        23    0.082194766267845776    0.196116135138184045         10.13                25
   2  -70.0        23    0.259536014434359918    0.179605302026774910          7.80                30
   2  -69.0        23    0.198088569968322359    0.164398987305357291         10.63                36
   2  -62.0        23    0.517517041678372647    0.062994078834871209         30.14               251
                                                                              99.92               425    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   3  -64.0        23    0.600462785696758483    0.086066296582387042         12.45               134
   3  -82.0        23    0.017764571428571428    0.267261241912424397          6.50                13
   3  -80.0        23    0.046059545665977933    0.242535625036332969          7.24                16
   3  -79.0        23    0.027042726771649379    0.267261241912424397          6.40                13
   3  -77.0        23    0.095383748530696436    0.267261241912424397          4.36                13
   3  -73.0        23    0.215360285574392046    0.204124145231931509          7.71                23
   3  -71.0        23    0.170503070154537473    0.223606797749978964          6.09                19
   3  -69.0        23    0.331721219285598889    0.160128153805087131          7.28                38
   3  -68.0        23    0.440183922552128126    0.136082763487954339          7.58                53
   3  -67.0        23    0.461048204063778111    0.127000127000190505          7.68                61
   3  -66.0        23    0.552939715712591817    0.105999788000636003          9.54                88
   3  -62.0        23    0.669118090471311544    0.067884423330213065         17.14               216
                                                                              99.97               687    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   4  -63.0        23    0.376894876535271317    0.115470053837925163         11.02                74
   4  -81.0        23    0.021547186616791378    0.235702260395515839          8.04                17
   4  -79.0        23    0.038926166574614299    0.223606797749978964          8.90                19
   4  -78.0        23    0.028758199402167728    0.235702260395515839          8.41                17
   4  -75.0        23    0.145731349068504629    0.192450089729875262          9.18                26
   4  -73.0        23    0.121942253705182968    0.200000000000000011          9.19                24
   4  -70.0        23    0.212804864854306414    0.145864991497894558         13.77                46
   4  -68.0        23    0.207314550569424133    0.182574185835055358          7.80                29
   4  -65.0        23    0.322679104183552001    0.121267812518166485         11.68                67
   4  -62.0        23    0.403078465906514416    0.106600358177805221         11.93                87
                                                                              99.92               406    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   5  -64.0        23    0.572957886503559388    0.089442719099991588         11.81               124
   5  -81.0        23    0.017619626666666669    0.258198889747161098          7.00                14
   5  -80.0        23    0.008996141176470587    0.242535625036332969          8.00                16
   5  -79.0        23    0.029400342878389246    0.242535625036332969          7.31                16
   5  -78.0        23    0.033415985509177848    0.229415733870561772          8.32                18
   5  -75.0        23    0.086605944928503972    0.229415733870561772          7.50                18
   5  -70.0        23    0.293148415307286136    0.176776695296636893          7.59                31
   5  -69.0        23    0.221919526056836319    0.176776695296636893          9.06                31
   5  -65.0        23    0.546195857373462212    0.097128586235726413         10.56               105
   5  -62.0        23    0.651643591951066359    0.059234887775909240         22.83               284
                                                                              99.98               657    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   6  -64.0        23    0.427070449187720136    0.118678165819385339          7.45                70
   6  -81.0        23    0.016972088888888889    0.235702260395515839          8.50                17
   6  -79.0        23    0.034449483639638803    0.277350098112614574          5.68                12
   6  -78.0        23    0.019983244518694029    0.235702260395515839          8.05                17
   6  -76.0        23    0.057691043276342231    0.242535625036332969          7.12                16
   6  -75.0        23    0.079378556031790337    0.235702260395515839          6.77                17
   6  -74.0        23    0.126566941738361582    0.213200716355610442          6.80                21
   6  -73.0        23    0.112360237138712238    0.235702260395515839          6.42                17
   6  -71.0        23    0.234533879358718222    0.188982236504613599          8.26                27
   6  -70.0        23    0.250686727053525293    0.169030850945703304          8.79                34
   6  -68.0        23    0.310994602969798917    0.160128153805087131          8.70                38
   6  -67.0        23    0.358954867796576704    0.156173761888606072          6.01                40
   6  -65.0        23    0.352101712793571830    0.154303349962091912          5.87                41
   6  -62.0        23    0.387286515379556440    0.154303349962091912          5.33                41
                                                                              99.74               408    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   7  -81.0        23    0.016724507356103594    0.235702260395515839          8.18                17
   7  -79.0        23    0.022063200000000002    0.250000000000000000          7.50                15
   7  -78.0        23    0.018403495541017213    0.235702260395515839          8.14                17
   7  -76.0        23    0.068193084994892864    0.229415733870561772          7.74                18
   7  -74.0        23    0.073199315546627786    0.218217890235992362          8.98                20
   7  -71.0        23    0.128823985598964547    0.200000000000000011          7.69                24
   7  -70.0        23    0.229757351658942122    0.162221421130762544          8.63                37
   7  -65.0        23    0.511688812027227713    0.082760588860236795         15.73               145
   7  -62.0        23    0.579151582828582367    0.057448498962142609         27.38               302
                                                                              99.97               595    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   8  -64.0        23    0.175320504777171177    0.150755672288881815         10.74                43
   8  -63.0        23    0.196912194092797005    0.145864991497894558         12.54                46
   8  -80.0        23    0.043255165701843686    0.196116135138184045         10.82                25
   8  -76.0        23    0.056549130841679576    0.208514414057074771          9.62                22
   8  -72.0        23    0.117981608678151884    0.176776695296636893         11.93                31
   8  -70.0        23    0.094748177462534042    0.188982236504613599          9.76                27
   8  -67.0        23    0.193469282667367126    0.154303349962091912         11.16                41
   8  -66.0        23    0.201857652751844224    0.176776695296636893          7.81                31
   8  -62.0        23    4.120632168381670013    0.124034734589208454         15.42                64
                                                                              99.82               330    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   9  -63.0        23    0.510544590907668905    0.085125653075874858         15.77               137
   9  -80.0        23    0.224022833576608793    0.164398987305357291          8.47                36
   9  -78.0        23    0.212675131829844322    0.174077655955697852          7.49                32
   9  -71.0        23    0.371484399919765507    0.127000127000190505          9.67                61
   9  -69.0        23    0.549664631791970670    0.065653216429861272         26.40               231
   9  -68.0        23    0.526379012675355029    0.076028592126970551         19.72               172
   9  -62.0        23    0.466443118353947417    0.098058067569092022         12.45               103
                                                                              99.98               772    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
  10  -63.0        23    0.310012877365369699    0.107832773203438412         17.13                85
  10  -78.0        23    0.179223728300391238    0.160128153805087131         12.17                38
  10  -76.0        23    0.209186467111624252    0.140028008402800969         12.61                50
  10  -75.0        23    0.302177195593938241    0.127000127000190505         12.56                61
  10  -70.0        23    0.267507687029675312    0.124034734589208454         14.65                64
  10  -69.0        23    0.318553191566592064    0.110431526074846548         15.59                81
  10  -62.0        23    0.364481043278680916    0.094915799575249898         14.99               110
                                                                              99.69               489    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
  11  -63.0        23    0.073890661354648779    0.166666666666666657          8.73                35
  11  -82.0        23    0.006536347826086955    0.208514414057074771         11.00                22
  11  -80.0        23    0.064115132295859939    0.192450089729875262         10.75                26
  11  -78.0        23    0.062624845257244502    0.176776695296636893         11.61                31
  11  -73.0        23    0.087014497219643078    0.162221421130762544         13.85                37
  11  -71.0        23    0.083090952432884446    0.158113883008418971         14.64                39
  11  -69.0        23    0.093535192547007817    0.169030850945703304         10.06                34
  11  -68.0        23    0.067826587464015764    0.169030850945703304          9.90                34
  11  -62.0        23    0.087440147124291989    0.166666666666666657          9.43                35
                                                                              99.97               293    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
  12  -64.0        23    0.567664048883745775    0.101534616513361903         10.06                96
  12  -63.0        23    0.575739463068621782    0.086066296582387042         14.55               134
  12  -82.0        23    0.007294263362687139    0.250000000000000000          7.35                15
